Month,Advertiser,Order,Impressions,Clicks,CTR %
2026-01 Jan,Aspen Grove Royalty Co,MRF Aspen 2025/01,21669,4,0.0185
2026-02 Feb,Aspen Grove Royalty Co,MRF Aspen 2025/01,21045,13,0.0618
2026-03 Mar,Aspen Grove Royalty Co,MRF Aspen 2025/01,24194,10,0.0413
2026-04 Apr,Aspen Grove Royalty Co,MRF Aspen 2025/01,22923,7,0.0305
2026-05 May,Aspen Grove Royalty Co,MRF Aspen 2025/01,18797,11,0.0585
2026-06 Jun,Aspen Grove Royalty Co,MRF Aspen 2025/01,9109,4,0.0439
2026-01 Jan,CCFF Legal,MRF CCFF Legal 3 Discourse,62579,30,0.0479
2026-02 Feb,CCFF Legal,MRF CCFF Legal 3 Discourse,60383,28,0.0464
2026-03 Mar,CCFF Legal,MRF CCFF Legal 3 Discourse,70476,34,0.0482
2026-04 Apr,CCFF Legal,MRF CCFF Legal 3 Discourse,67484,35,0.0519
2026-05 May,CCFF Legal,MRF CCFF Legal 3 Discourse,53047,35,0.066
2026-06 Jun,CCFF Legal,MRF CCFF Legal 3 Discourse,25908,12,0.0463
2026-01 Jan,Courthouse Direct,MRF CHD,21793,25,0.1147
2026-02 Feb,Courthouse Direct,MRF CHD,20772,28,0.1348
2026-03 Mar,Courthouse Direct,MRF CHD,24299,35,0.144
2026-04 Apr,Courthouse Direct,MRF CHD,23107,30,0.1298
2026-05 May,Courthouse Direct,MRF CHD,18861,31,0.1644
2026-06 Jun,Courthouse Direct,MRF CHD,9047,11,0.1216
2026-06 Jun,Enverus,MRF Enverus 2026/06,578,2,0.346
2026-01 Jan,"KED Interests, LLC.",FCV KEDI 2025/03,60,0,0
2026-01 Jan,"KED Interests, LLC.",MW SS,2342,6,0.2562
2026-02 Feb,"KED Interests, LLC.",FCV KEDI 2025/03,33,0,0
2026-02 Feb,"KED Interests, LLC.",MW SS,3397,4,0.1178
2026-03 Mar,"KED Interests, LLC.",FCV KEDI 2025/03,1,0,0
2026-03 Mar,"KED Interests, LLC.",GF KEDI 2025/03,17,0,0
2026-04 Apr,"KED Interests, LLC.",FCV KEDI 2025/03,2,0,0
2026-05 May,"KED Interests, LLC.",FCV KEDI 2025/03,2,0,0
2026-05 May,"KED Interests, LLC.",MRF_Directory_Card_Ad,139,7,5.036
2026-06 Jun,"KED Interests, LLC.",FCV KEDI 2025/03,3,0,0
2026-06 Jun,"KED Interests, LLC.",MRF_Directory_Card_Ad,194,5,2.5773
2026-01 Jan,Legacy Mineral Management,MRF Legacy MM 2025/10,21356,12,0.0562
2026-02 Feb,Legacy Mineral Management,MRF Legacy MM 2025/10,20911,12,0.0574
2026-03 Mar,Legacy Mineral Management,MRF Legacy MM 2025/10,24333,12,0.0493
2026-04 Apr,Legacy Mineral Management,MRF Legacy MM 2025/10,22091,14,0.0634
2026-05 May,NARO Texas,MRF NARO TX 2026/05,28417,11,0.0387
2026-06 Jun,NARO Texas,MRF NARO TX 2026/05,18805,8,0.0425
2026-01 Jan,Overland Oil,MRF Overland,21488,19,0.0884
2026-02 Feb,Overland Oil,MRF Overland,21008,13,0.0619
2026-03 Mar,Overland Oil,MRF Overland,24233,21,0.0867
2026-04 Apr,Overland Oil,MRF Overland,22985,14,0.0609
2026-05 May,Overland Oil,MRF Overland,18840,17,0.0902
2026-06 Jun,Overland Oil,MRF Overland,9136,8,0.0876
2026-01 Jan,Permico Royalties,MRF Permico,21715,12,0.0553
2026-02 Feb,Permico Royalties,MRF Permico,20537,14,0.0682
2026-03 Mar,Permico Royalties,MRF Permico,24313,17,0.0699
2026-04 Apr,Permico Royalties,MRF Permico,23381,7,0.0299
2026-05 May,Permico Royalties,MRF Permico,18945,15,0.0792
2026-06 Jun,Permico Royalties,MRF Permico,9019,7,0.0776
2026-01 Jan,Robbins Family Minerals,MRF Robbins 2026/01,43883,30,0.0684
2026-02 Feb,Robbins Family Minerals,MRF Robbins 2026/01,42192,36,0.0853
2026-03 Mar,Robbins Family Minerals,MRF Robbins 2026/01,48861,41,0.0839
2026-04 Apr,Robbins Family Minerals,MRF Robbins 2026/01,46619,23,0.0493
2026-05 May,Robbins Family Minerals,MRF Robbins 2026/01,38481,19,0.0494
2026-06 Jun,Robbins Family Minerals,MRF Robbins 2026/01,18436,14,0.0759
